,Lat,Lng,Income
424,40.7947466,-74.2648829,64626.0
425,39.7103023,-75.1078332,89447.0
426,40.7453199,-74.05351259999999,78808.0
427,40.56695149999999,-74.92087719999999,116155.0
428,40.3028533,-74.7337069,79492.0
429,40.4111363,-74.35874729999999,93418.0
430,40.2589455,-74.12399599999999,102870.0
431,40.8336038,-74.54632819999999,116283.0
432,39.9652553,-74.3118212,76093.0
433,41.1231647,-74.35874729999999,77040.0
434,39.5848777,-75.3878525,68531.0
435,40.5292099,-74.64004320000001,111587.0
436,41.1288481,-74.6868815,101130.0
437,40.6595001,-74.2883536,80339.0
438,40.8841854,-74.92087719999999,84479.0
439,35.0177854,-106.6291304,56115.0
440,33.4757392,-104.4723301,42003.0
441,32.485767,-106.7234639,43038.0
442,32.8968816,-103.3587288,68457.0
443,35.71524720000001,-108.2377519,37153.0
444,32.6341716,-105.5943388,39371.0
445,35.6020667,-106.7234639,71997.0
446,36.3882439,-108.2377519,44321.0
447,35.3653705,-105.9699878,61298.0
448,34.6743674,-106.6291304,60601.0
449,42.57567969999999,-73.93598209999999,69953.0
450,40.8447819,-73.8648268,41432.0
451,42.1791865,-75.8533954,52010.0
452,42.2318132,-78.74762079999999,50912.0
453,42.7655231,-76.5488232,58665.0
454,42.2312829,-79.560344,50272.0
455,42.1362071,-76.7798172,60782.0
456,44.7904203,-73.6005824,60198.0
457,41.7784372,-73.7477857,85901.0
458,42.9023958,-78.8661589,60652.0
459,44.0607421,-75.9927652,53917.0
460,40.6528762,-73.95949399999999,66937.0
461,42.7576923,-77.8367282,59173.0
462,42.98059749999999,-75.8069082,62918.0
463,43.2841246,-77.7452081,62103.0
464,40.6546145,-73.55941279999999,118453.0
465,40.7830603,-73.9712488,93651.0
466,43.3119496,-78.74762079999999,56304.0
467,43.2371798,-75.4344727,57391.0
468,43.026819,-76.17837390000001,61577.0
469,42.85098379999999,-77.2864879,66568.0
470,41.3911653,-74.3118212,84458.0
471,43.482533,-76.17837390000001,58459.0
472,41.4351069,-73.7948516,106204.0
473,40.7282239,-73.7948516,73696.0
474,42.673664,-73.55941279999999,71574.0
475,40.5795317,-74.1502007,89821.0
476,41.1489458,-73.98300290000002,100916.0
477,44.4473142,-74.930206,52108.0
478,43.0324245,-73.93598209999999,89932.0
479,42.8493445,-73.98300290000002,65773.0
480,42.321027,-77.3783789,52951.0
481,40.9848784,-72.61511689999999,106228.0
482,41.6897493,-74.7805192,60137.0
483,42.4575747,-76.5488232,58626.0
484,41.8586493,-74.3118212,64087.0
485,43.6078891,-73.7477857,64985.0
486,43.2020024,-77.010385,61730.0
487,41.1220194,-73.7948516,101908.0
488,36.0117388,-79.4253776,58490.0
489,34.0275398,-78.2020387,63668.0
490,35.59313770000001,-82.4752757,54970.0
491,35.7616931,-81.73494199999999,47361.0
492,35.4168123,-80.5882803,72333.0
